DATE,NBUSBIS
1994-01-01,71.18
1994-02-01,71.26
1994-03-01,71.76
1994-04-01,72.39
1994-05-01,72.36
1994-06-01,72.47
1994-07-01,71.51
1994-08-01,71.49
1994-09-01,70.88
1994-10-01,70.47
1994-11-01,70.79
1994-12-01,72.59
1995-01-01,74.62
1995-02-01,74.2
1995-03-01,73.48
1995-04-01,71.2
1995-05-01,71.16
1995-06-01,71.38
1995-07-01,71.46
1995-08-01,73.33
1995-09-01,74.56
1995-10-01,74.48
1995-11-01,75.63
1995-12-01,76.15
1996-01-01,76.65
1996-02-01,76.87
1996-03-01,76.94
1996-04-01,77.14
1996-05-01,77.45
1996-06-01,77.82
1996-07-01,77.79
1996-08-01,77.42
1996-09-01,77.85
1996-10-01,78.3
1996-11-01,78.01
1996-12-01,78.87
1997-01-01,79.72
1997-02-01,81.24
1997-03-01,81.94
1997-04-01,82.57
1997-05-01,81.64
1997-06-01,81.46
1997-07-01,82.26
1997-08-01,83.79
1997-09-01,84.15
1997-10-01,84.5
1997-11-01,86.01
1997-12-01,89.08
1998-01-01,91.69
1998-02-01,90.61
1998-03-01,90.39
1998-04-01,90.37
1998-05-01,91.09
1998-06-01,93.13
1998-07-01,93.41
1998-08-01,95.12
1998-09-01,94.02
1998-10-01,91.39
1998-11-01,91.34
1998-12-01,90.69
1999-01-01,90.91
1999-02-01,92.07
1999-03-01,93.15
1999-04-01,92.57
1999-05-01,92.43
1999-06-01,92.98
1999-07-01,93.03
1999-08-01,92.08
1999-09-01,91.51
1999-10-01,91.19
1999-11-01,91.36
1999-12-01,91.47
2000-01-01,91.31
2000-02-01,92.53
2000-03-01,92.5
2000-04-01,92.99
2000-05-01,95.22
2000-06-01,94.24
2000-07-01,94.31
2000-08-01,95.03
2000-09-01,96.06
2000-10-01,97.55
2000-11-01,98.27
2000-12-01,97.53
2001-01-01,97.45
2001-02-01,97.95
2001-03-01,99.62
2001-04-01,100.48
2001-05-01,100.21
2001-06-01,100.81
2001-07-01,101.21
2001-08-01,99.62
2001-09-01,99.92
2001-10-01,100.59
2001-11-01,101.05
2001-12-01,101.14
2002-01-01,102.29
2002-02-01,102.86
2002-03-01,102.26
2002-04-01,101.91
2002-05-01,100.62
2002-06-01,99.46
2002-07-01,98.04
2002-08-01,99.1
2002-09-01,99.73
2002-10-01,100.49
2002-11-01,99.46
2002-12-01,98.98
2003-01-01,97.69
2003-02-01,97.63
2003-03-01,97.23
2003-04-01,96.53
2003-05-01,93.13
2003-06-01,92.85
2003-07-01,93.69
2003-08-01,94.86
2003-09-01,93.9
2003-10-01,91.99
2003-11-01,91.83
2003-12-01,90.59
2004-01-01,89.11
2004-02-01,89.44
2004-03-01,90.36
2004-04-01,91.06
2004-05-01,92.51
2004-06-01,91.63
2004-07-01,90.95
2004-08-01,91.17
2004-09-01,90.78
2004-10-01,89.5
2004-11-01,87.08
2004-12-01,86.02
2005-01-01,86.53
2005-02-01,86.67
2005-03-01,86.13
2005-04-01,86.97
2005-05-01,87.35
2005-06-01,88.25
2005-07-01,88.6
2005-08-01,87.43
2005-09-01,87.32
2005-10-01,88.28
2005-11-01,88.92
2005-12-01,88.36
2006-01-01,87.17
2006-02-01,87.32
2006-03-01,87.49
2006-04-01,86.89
2006-05-01,85.1
2006-06-01,86.22
2006-07-01,85.94
2006-08-01,85.38
2006-09-01,85.6
2006-10-01,85.9
2006-11-01,85.12
2006-12-01,84.37
2007-01-01,85.25
2007-02-01,84.98
2007-03-01,84.54
2007-04-01,83.42
2007-05-01,82.76
2007-06-01,82.6
2007-07-01,81.53
2007-08-01,81.94
2007-09-01,80.82
2007-10-01,79.17
2007-11-01,77.89
2007-12-01,78.58
2008-01-01,77.92
2008-02-01,77.33
2008-03-01,75.72
2008-04-01,75.39
2008-05-01,75.65
2008-06-01,75.76
2008-07-01,75.13
2008-08-01,76.97
2008-09-01,78.85
2008-10-01,84.08
2008-11-01,86.35
2008-12-01,85.52
2009-01-01,86.0
2009-02-01,88.13
2009-03-01,88.56
2009-04-01,86.4
2009-05-01,83.78
2009-06-01,82.78
2009-07-01,82.49
2009-08-01,81.41
2009-09-01,80.8
2009-10-01,79.64
2009-11-01,79.27
2009-12-01,79.56
2010-01-01,79.74
2010-02-01,80.92
2010-03-01,80.29
2010-04-01,79.94
2010-05-01,82.3
2010-06-01,82.85
2010-07-01,81.49
2010-08-01,80.76
2010-09-01,80.04
2010-10-01,77.73
2010-11-01,77.96
2010-12-01,78.58
2011-01-01,77.69
2011-02-01,77.14
2011-03-01,76.37
2011-04-01,75.14
2011-05-01,75.03
2011-06-01,75.06
2011-07-01,74.6
2011-08-01,74.98
2011-09-01,77.16
2011-10-01,78.0
2011-11-01,78.5
2011-12-01,79.17
2012-01-01,78.85
2012-02-01,77.44
2012-03-01,77.87
2012-04-01,78.12
2012-05-01,79.53
2012-06-01,80.64
2012-07-01,80.24
2012-08-01,79.56
2012-09-01,78.32
2012-10-01,78.02
2012-11-01,78.57
2012-12-01,78.04
2013-01-01,78.07
2013-02-01,78.62
2013-03-01,79.36
2013-04-01,79.04
2013-05-01,79.44
2013-06-01,79.98
2013-07-01,80.42
2013-08-01,80.28
2013-09-01,80.19
2013-10-01,79.33
2013-11-01,80.01
2013-12-01,80.14
2014-01-01,80.85
2014-02-01,80.98
2014-03-01,80.93
2014-04-01,80.66
2014-05-01,80.41
2014-06-01,80.57
2014-07-01,80.37
2014-08-01,81.1
2014-09-01,82.27
2014-10-01,83.31
2014-11-01,84.66
2014-12-01,86.6
2015-01-01,88.39
2015-02-01,89.62
2015-03-01,91.23
2015-04-01,90.61
2015-05-01,89.86
2015-06-01,90.5
2015-07-01,91.96
2015-08-01,93.58
2015-09-01,94.21
2015-10-01,93.43
2015-11-01,94.93
2015-12-01,95.85
2016-01-01,97.85
2016-02-01,97.04
2016-03-01,95.19
2016-04-01,93.59
2016-05-01,94.55
2016-06-01,94.97
2016-07-01,95.54
2016-08-01,94.66
2016-09-01,95.4
2016-10-01,96.31
2016-11-01,98.78
2016-12-01,100.45
2017-01-01,100.45
2017-02-01,98.94
2017-03-01,98.46
2017-04-01,97.68
2017-05-01,97.2
2017-06-01,95.85
2017-07-01,94.58
2017-08-01,93.42
2017-09-01,92.54
2017-10-01,94.25
2017-11-01,94.45
2017-12-01,94.12
2018-01-01,92.04
2018-02-01,91.19
2018-03-01,91.43
2018-04-01,91.39
2018-05-01,93.99
2018-06-01,95.55
2018-07-01,96.0
2018-08-01,96.77
2018-09-01,97.01
2018-10-01,97.65
2018-11-01,98.71
2018-12-01,98.59
2019-01-01,97.08
2019-02-01,96.94
2019-03-01,97.21
2019-04-01,97.33
2019-05-01,98.36
2019-06-01,97.98
2019-07-01,97.59
2019-08-01,99.4
2019-09-01,99.73
2019-10-01,99.25
2019-11-01,98.94
2019-12-01,98.5
2020-01-01,97.84
2020-02-01,99.08
2020-03-01,102.64
2020-04-01,104.83
2020-05-01,104.19
2020-06-01,101.84
2020-07-01,101.08
2020-08-01,99.57
2020-09-01,98.89
2020-10-01,98.34
2020-11-01,96.72
2020-12-01,94.98
2021-01-01,94.56
2021-02-01,94.95
2021-03-01,96.28
2021-04-01,95.69
2021-05-01,94.51
2021-06-01,94.78
2021-07-01,95.99
2021-08-01,96.25
2021-09-01,96.23
2021-10-01,96.87
2021-11-01,97.65
2021-12-01,98.3
2022-01-01,97.77
2022-02-01,97.71
2022-03-01,98.98
2022-04-01,99.72
2022-05-01,102.0
2022-06-01,102.43
2022-07-01,104.62
2022-08-01,104.46
2022-09-01,107.29
2022-10-01,109.19
2022-11-01,106.73
2022-12-01,104.47
2023-01-01,102.35
2023-02-01,102.69
2023-03-01,103.26
2023-04-01,102.17
2023-05-01,102.7
2023-06-01,103.05
2023-07-01,102.28
2023-08-01,103.75
2023-09-01,105.16
2023-10-01,106.67
2023-11-01,104.81
2023-12-01,103.48
2024-01-01,103.77
2024-02-01,104.51
2024-03-01,104.26
2024-04-01,105.39
2024-05-01,105.21
2024-06-01,106.76
2024-07-01,106.53
